,city
"(44.53, -110.84)","Teton County,,Wyoming"
"(63.54, -145.86)","Unorganized Borough,,Alaska"
"(40.54, -74.58)","Somerset County,Franklin Township,New Jersey"
"(31.21, 121.46)","黄浦区,黄浦区,上海市"
"(40.68, -74.17)","Union County,Elizabeth,New Jersey"
"(39.99, 116.33)",",海淀区,北京市"
"(44.62, -110.44)","Park County,,Wyoming"
"(44.71, -110.5)","Park County,,Wyoming"
"(63.34, -149.1)","Denali,,Alaska"
"(44.72, -110.5)","Park County,,Wyoming"
"(63.67, -145.88)","Unorganized Borough,,Alaska"
"(44.97, -110.7)","Park County,,Wyoming"
"(60.82, -148.98)","Anchorage,,Alaska"
"(31.24, 121.5)","浦东新区,,上海市"
"(41.31, -72.92)","New Haven County,New Haven,Connecticut"
"(39.99, 116.3)",",,北京市"
"(40.35, -74.65)","Mercer County,Princeton Township,New Jersey"
"(44.99, -110.69)","Park County,,Wyoming"
"(34.85, 118.85)","赣榆区 (Ganyu),连云港市,江苏省"
"(61.58, -149.44)","Matanuska-Susitna,Wasilla,Alaska"
"(42.8, -111.56)","Caribou County,Soda Springs,Idaho"
"(39.94, 116.38)",",西城区,北京市"
"(64.6, -147.06)","Fairbanks North Star,,Alaska"
"(34.64, 119.33)","海州区 (Haizhou),连云港市,江苏省"
"(40.25, -74.7)","Mercer County,Hamilton Township,New Jersey"
"(39.95, 116.47)","朝阳区 / Chaoyang,朝阳区,北京市"
"(45.12, -110.86)","Park County,,Montana"
"(43.76, -110.73)","Teton County,,Wyoming"
"(40.54, -74.36)","Middlesex County,Metuchen,New Jersey"
"(64.84, -147.72)","Fairbanks North Star,Fairbanks,Alaska"
"(45.02, -110.69)","Park County,,Montana"
"(40.79, -74.16)","Essex County,Belleville,New Jersey"
"(60.94, -149.18)","Anchorage,,Alaska"
"(44.66, -111.11)","Gallatin County,,Montana"
"(61.77, -147.75)","Matanuska-Susitna,,Alaska"
"(45.11, -110.84)","Park County,,Montana"
"(61.62, -149.19)","Matanuska-Susitna,,Alaska"
"(40.02, 116.39)","朝阳区 / Chaoyang,朝阳区,北京市"
"(44.92, -110.29)","Park County,,Wyoming"
"(40.52, -74.41)","Middlesex County,Edison,New Jersey"
"(63.77, -148.91)","Denali,,Alaska"
"(43.77, -110.75)","Teton County,,Wyoming"
"(34.31, 117.96)","邳州市 (Pizhou),邳州市,江苏省"
"(63.5, -145.86)","Unorganized Borough,,Alaska"
"(40.25, -74.3)","Monmouth County,Freehold Township,New Jersey"
"(40.44, -74.61)","Somerset County,Franklin Township,New Jersey"
"(40.46, -74.51)","Middlesex County,North Brunswick Township,New Jersey"
"(63.46, -148.8)","Denali,,Alaska"
"(34.48, 118.74)","东海县,东海县,江苏省"
"(44.63, -110.43)","Park County,,Wyoming"
"(34.84, 119.12)","赣榆区 (Ganyu),赣榆区,江苏省"
"(62.59, -150.24)","Matanuska-Susitna,,Alaska"
"(61.33, -149.54)","Anchorage,,Alaska"
"(40.25, -74.69)","Mercer County,Hamilton Township,New Jersey"
"(40.55, -74.4)","Middlesex County,Edison,New Jersey"
"(40.31, -74.87)","Mercer County,Hopewell Township,New Jersey"
"(39.87, -75.68)","Chester County,East Marlborough Township,Pennsylvania"
"(40.76, -74.18)","Essex County,Newark,New Jersey"
"(44.53, -110.42)","Teton County,,Wyoming"
"(40.71, -74.02)","New York County,NYC,New York"
"(44.53, -110.83)","Teton County,,Wyoming"
"(61.88, -147.34)","Matanuska-Susitna,,Alaska"
"(40.23, -74.09)","Monmouth County,Neptune Township,New Jersey"
"(39.91, 116.37)",",西城区,北京市"
"(63.48, -148.82)","Denali,,Alaska"
"(40.57, -74.38)","Middlesex County,Edison,New Jersey"
"(34.27, 117.3)","鼓楼区 (Gulou),徐州市,江苏省"
"(63.55, -145.86)",",,Alaska"
"(45.1, -110.85)","Park County,,Montana"
"(60.83, -148.98)","Anchorage,,Alaska"
"(39.89, 116.45)","朝阳区 / Chaoyang,朝阳区,北京市"
"(63.25, -149.25)","Matanuska-Susitna,,Alaska"
"(44.68, -110.49)","Park County,,Wyoming"
"(61.32, -149.54)","Anchorage,,Alaska"
"(39.96, 116.4)","朝阳区 / Chaoyang,,北京市"
"(34.74, 119.36)","连云区 (Lianyun),连云港市,江苏省"
"(60.94, -149.19)","Anchorage,,Alaska"
"(61.78, -147.75)","Matanuska-Susitna,,Alaska"
"(40.51, -74.48)","Middlesex County,Piscataway Township,New Jersey"
"(40.01, 116.38)","朝阳区 / Chaoyang,朝阳区,北京市"
"(39.9, 116.45)","朝阳区 / Chaoyang,朝阳区,北京市"
"(63.74, -148.89)","Denali,,Alaska"
"(40.45, -74.5)","Middlesex County,North Brunswick Township,New Jersey"
"(40.55, -74.33)","Middlesex County,Edison,New Jersey"
"(63.4, -148.89)","Denali,,Alaska"
"(40.46, -74.45)","Middlesex County,North Brunswick Township,New Jersey"
"(40.45, -74.4)","Middlesex County,East Brunswick Township,New Jersey"
"(34.75, 119.14)","赣榆区 (Ganyu),赣榆区,江苏省"
"(61.3, -149.54)","Anchorage,,Alaska"
"(44.46, -110.83)","Teton County,,Wyoming"
"(39.89, 116.47)","朝阳区 / Chaoyang,朝阳区,北京市"
"(44.73, -110.71)","Park County,,Wyoming"
"(39.91, 116.45)","朝阳区 / Chaoyang,朝阳区,北京市"
"(27.57, -82.15)","Manatee County,,Florida"
"(40.72, -73.99)","New York County,NYC,New York"
"(61.89, -147.33)","Matanuska-Susitna,,Alaska"
"(39.99, 116.39)","朝阳区 / Chaoyang,朝阳区,北京市"
"(43.72, -110.66)","Teton County,,Wyoming"
"(63.47, -148.82)","Denali,,Alaska"
"(40.56, -74.53)","Somerset County,South Bound Brook,New Jersey"
"(60.82, -148.99)","Anchorage,,Alaska"
"(62.97, -149.63)","Matanuska-Susitna,,Alaska"
"(44.64, -110.9)","Teton County,,Wyoming"
"(34.85, 119.12)","赣榆区 (Ganyu),赣榆区,江苏省"
"(34.63, 119.34)","海州区 (Haizhou),连云港市,江苏省"
"(43.78, -110.72)","Teton County,,Wyoming"
"(34.84, 119.19)","赣榆区 (Ganyu),赣榆区,江苏省"
"(61.78, -147.76)","Matanuska-Susitna,,Alaska"
"(40.72, -74.18)","Essex County,Newark,New Jersey"
"(40.22, -74.1)","Monmouth County,Tinton Falls,New Jersey"
"(34.94, 118.97)","赣榆区 (Ganyu),连云港市,江苏省"
"(39.94, 116.39)",",西城区,北京市"
"(44.87, -110.17)","Park County,,Wyoming"
"(40.01, 116.39)","朝阳区 / Chaoyang,朝阳区,北京市"
"(34.28, 117.27)","鼓楼区 (Gulou),徐州市,江苏省"
"(63.53, -145.86)","Unorganized Borough,,Alaska"
"(61.21, -149.74)","Anchorage,,Alaska"
"(40.55, -74.44)","Middlesex County,Piscataway Township,New Jersey"
"(63.34, -149.09)","Denali,,Alaska"
"(39.87, 116.35)",",西城区,北京市"
"(61.58, -149.47)","Matanuska-Susitna,Wasilla,Alaska"
"(61.33, -149.53)","Anchorage,,Alaska"
"(40.45, -74.41)","Middlesex County,East Brunswick Township,New Jersey"
"(43.75, -110.72)","Teton County,,Wyoming"
"(40.5, -74.41)","Middlesex County,Edison,New Jersey"
"(61.94, -147.18)","Matanuska-Susitna,,Alaska"
"(63.61, -145.87)",",,Alaska"
"(62.96, -149.64)","Matanuska-Susitna,,Alaska"
"(44.42, -110.55)","Teton County,,Wyoming"
"(40.3, -74.68)","Mercer County,Lawrence Township,New Jersey"
"(43.77, -110.74)","Teton County,,Wyoming"
"(60.78, -148.84)","Anchorage,,Alaska"
"(40.74, -111.87)","Salt Lake County,Salt Lake City,Utah"
"(64.82, -147.87)","Fairbanks North Star,,Alaska"
"(40.36, -74.62)","Mercer County,Plainsboro Township,New Jersey"
"(27.84, -82.58)","Pinellas County,St. Petersburg,Florida"
"(62.12, -145.48)","Valdez-Cordova,,Alaska"
"(63.47, -148.81)","Denali,,Alaska"
"(61.09, -149.83)","Anchorage,Anchorage,Alaska"
"(40.52, -74.43)","Middlesex County,Piscataway Township,New Jersey"
"(43.76, -110.77)","Teton County,,Wyoming"
"(40.73, -74.16)","Essex County,Newark,New Jersey"
"(64.84, -147.71)","Fairbanks North Star,Fairbanks,Alaska"
"(40.4, -74.55)","Middlesex County,South Brunswick,New Jersey"
"(34.75, 119.15)","赣榆区 (Ganyu),赣榆区,江苏省"
"(40.48, -74.41)","Middlesex County,New Brunswick,New Jersey"
"(40.78, -73.87)","Queens County,NYC,New York"
"(40.78, -111.89)","Salt Lake County,Salt Lake City,Utah"
"(34.74, 119.37)","连云区 (Lianyun),连云港市,江苏省"
"(31.24, 121.52)","浦东新区,洋泾街道,上海市"
"(63.73, -148.89)","Denali,,Alaska"
"(31.22, 121.45)","黄浦区,,上海市"
"(40.22, -74.09)","Monmouth County,Neptune Township,New Jersey"
"(61.93, -147.2)","Matanuska-Susitna,,Alaska"
"(39.89, 116.37)",",西城区,北京市"
"(39.94, 116.45)","朝阳区 / Chaoyang,朝阳区,北京市"
"(31.24, 121.48)","黄浦区,黄浦区,上海市"
"(43.76, -110.74)","Teton County,,Wyoming"
"(31.22, 121.47)","黄浦区,黄浦区,上海市"
"(61.94, -147.17)","Matanuska-Susitna,,Alaska"
"(40.41, -74.38)","Middlesex County,East Brunswick Township,New Jersey"
"(65.06, -146.06)","Fairbanks North Star,,Alaska"
"(63.49, -148.82)","Denali,,Alaska"
"(61.22, -149.9)","Anchorage,Anchorage,Alaska"
"(40.23, -74.71)","Mercer County,Hamilton Township,New Jersey"
"(45.03, -110.7)","Park County,,Montana"
"(44.65, -110.99)","Teton County,,Wyoming"
"(40.08, -74.14)","Ocean County,Brick Township,New Jersey"
"(40.5, -74.47)","Somerset County,Franklin Township,New Jersey"
"(60.94, -149.16)","Anchorage,,Alaska"
"(41.06, -74.06)","Bergen County,Montvale,New Jersey"
"(61.06, -149.81)","Anchorage,Anchorage,Alaska"
"(63.61, -145.86)",",,Alaska"
"(31.29, 120.64)","姑苏区,苏州市,江苏省"
"(31.3, 120.54)","苏州高新技术产业开发区,苏州市,江苏省"
"(31.31, 120.62)","姑苏区,苏州市,江苏省"
"(31.3, 120.61)","姑苏区,苏州市,江苏省"
"(34.44, 117.51)","贾汪区 (Jiawang),贾汪区,江苏省"
"(34.45, 117.51)","贾汪区 (Jiawang),贾汪区,江苏省"
"(34.42, 117.45)","贾汪区 (Jiawang),贾汪区,江苏省"
"(34.36, 117.53)","贾汪区 (Jiawang),徐州市 / Xuzhou,江苏省"
"(31.29, 120.62)","姑苏区,苏州市,江苏省"
"(31.31, 120.65)","苏州工业园区,苏州工业园区直属镇,江苏省"
"(31.42, 120.1)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.39, 120.08)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.43, 120.09)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.43, 120.1)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.28, 120.72)","苏州工业园区,苏州市,江苏省"
"(31.27, 120.72)","苏州工业园区,苏州市,江苏省"
"(31.26, 120.5)","吴中区,苏州市,江苏省"
"(31.27, 120.49)","吴中区,苏州市,江苏省"
"(31.28, 120.49)","吴中区,苏州市,江苏省"
"(31.29, 120.49)","吴中区,苏州市,江苏省"
"(31.3, 120.64)","姑苏区,苏州市,江苏省"
"(34.12, 117.6)","铜山区 (Tongshan),徐州市 / Xuzhou,江苏省"
"(34.25, 117.22)","云龙区 (Yunlong),徐州市 / Xuzhou,江苏省"
"(34.25, 117.21)","云龙区 (Yunlong),徐州市 / Xuzhou,江苏省"
"(31.28, 120.67)","苏州工业园区,苏州市,江苏省"
"(30.02, 108.53)","利川市 (Lichuan),恩施土家族苗族自治州,湖北省"
"(30.01, 108.46)","石柱土家族自治县 (Shizhu),,重庆市"
"(29.88, 106.7)","渝北区 (Yubei),,重庆市"
"(29.57, 106.58)","重庆市中心,重庆市,重庆市"
"(29.56, 106.58)","重庆市中心,重庆市,重庆市"
"(29.56, 106.57)","重庆市中心,重庆市,重庆市"
"(29.57, 106.57)","重庆市中心,重庆市,重庆市"
"(29.89, 106.9)","渝北区 (Yubei),,重庆市"
"(31.35, 121.25)","嘉定区,嘉定区,"
"(31.32, 120.6)","姑苏区,苏州市,江苏省"
"(31.29, 120.65)","苏州工业园区,苏州市,江苏省"
"(31.32, 120.68)","苏州工业园区,苏州工业园区直属镇,江苏省"
"(31.19, 120.63)","吴江区,苏州市,江苏省"
"(31.41, 120.78)","苏州工业园区,苏州市,江苏省"
"(40.02, 116.46)","朝阳区 / Chaoyang,,北京市"
"(39.93, 116.4)",",东城区,北京市"
"(39.94, 116.4)",",东城区,北京市"
"(39.91, 116.39)",",北京市,北京市"
"(39.91, 116.4)",",北京市,北京市"
"(39.91, 116.41)",",北京市,北京市"
"(39.9, 116.39)",",北京市,北京市"
"(31.32, 120.66)","苏州工业园区,苏州工业园区直属镇,江苏省"
"(31.27, 120.64)","吴中区,苏州市,江苏省"
"(31.26, 120.64)","吴中区,苏州市,江苏省"
"(31.27, 120.65)","吴中区,苏州市,江苏省"
"(31.26, 120.65)","吴中区,苏州市,江苏省"
"(31.29, 120.63)","姑苏区,苏州市,江苏省"
"(31.31, 120.64)","姑苏区,苏州市,江苏省"
"(31.32, 120.64)","姑苏区,苏州市,江苏省"
"(31.32, 120.63)","姑苏区,苏州市,江苏省"
"(36.67, 116.89)","槐荫区,济南市,山东省"
"(36.67, 117.01)","历下区,济南市,山东省"
"(36.66, 117.02)","历下区,济南市,山东省"
"(36.66, 117.03)","历下区,济南市,山东省"
"(36.66, 117.01)","历下区,济南市,山东省"
"(29.62, 106.49)","渝北区 (Yubei),,重庆市"
"(29.8, 106.52)","北碚区 (Beibei),,重庆市"
"(29.7, 106.62)","渝北区 (Yubei),,重庆市"
"(29.71, 106.62)","渝北区 (Yubei),,重庆市"
"(30.07, 106.92)","邻水县 / Linshui,广安市 / Guang'an,四川省"
"(31.34, 120.36)","苏州高新技术产业开发区,苏州市,江苏省"
"(31.5, 120.43)","新吴区 (XinWu),无锡市 / Wuxi,江苏省"
"(36.66, 117.0)","市中区,济南市,山东省"
"(36.66, 116.99)","市中区,济南市,山东省"
"(36.21, 117.0)","岱岳区 (Daiyue),泰安市 / Tai'an,山东省"
"(36.19, 117.01)","岱岳区 (Daiyue),泰安市 / Tai'an,山东省"
"(31.3, 120.62)","姑苏区,苏州市,江苏省"
"(31.55, 120.27)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.94, 118.78)",",南京市,江苏省"
"(31.94, 118.79)",",南京市,江苏省"
"(31.94, 118.87)",",南京市,江苏省"
"(31.95, 118.8)",",南京市,江苏省"
"(32.02, 118.78)",",南京市,江苏省"
"(31.82, 119.9)","钟楼区 (Zhonglou),钟楼区,江苏省"
"(31.28, 120.74)","苏州工业园区,苏州市,江苏省"
"(31.27, 120.74)","苏州工业园区,苏州市,江苏省"
"(31.32, 120.56)","苏州高新技术产业开发区,苏州市,江苏省"
"(31.55, 120.26)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.55, 120.22)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.54, 120.22)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.55, 120.25)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.34, 120.63)","姑苏区,苏州市,江苏省"
"(31.04, 121.58)","浦东新区,,"
"(31.27, 120.6)","姑苏区,苏州市,江苏省"
"(31.28, 121.21)","嘉定区,嘉定区,上海市"
"(31.22, 121.44)","静安区,静安区,上海市"
"(29.61, 106.5)","渝北区 (Yubei),,重庆市"
"(29.58, 106.53)","重庆市中心,重庆市,重庆市"
"(29.4, 106.54)","巴南区 (Banan),,重庆市"
"(29.61, 106.51)","渝北区 (Yubei),,重庆市"
"(31.19, 121.58)","浦东新区,浦东新区,"
"(45.62, 126.23)","道里区,哈尔滨市,黑龙江省"
"(45.63, 126.24)","道里区,哈尔滨市,黑龙江省"
"(45.77, 126.57)","松北区 (Songbei),哈尔滨市 / Harbin,黑龙江省"
"(45.77, 126.61)","道里区,哈尔滨市,黑龙江省"
"(45.77, 126.56)","松北区 (Songbei),哈尔滨市 / Harbin,黑龙江省"
"(30.66, 114.22)","东西湖区 (Dongxihu),武汉市 / Wuhan,湖北省"
"(30.65, 114.22)","东西湖区 (Dongxihu),武汉市 / Wuhan,湖北省"
"(30.54, 114.36)","武昌区 (Wuchang),武汉市 / Wuhan,湖北省"
"(31.24, 120.7)","吴中区,苏州市,江苏省"
"(31.24, 120.68)","吴中区,苏州市,江苏省"
"(31.24, 120.69)","吴中区,苏州市,江苏省"
"(31.31, 120.73)","苏州工业园区,苏州市,江苏省"
"(31.21, 121.45)","徐汇区,,上海市"
"(31.53, 120.21)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.52, 120.19)","滨湖区 (Binhu),无锡市 / Wuxi,江苏省"
"(31.32, 120.55)","苏州高新技术产业开发区,苏州市,江苏省"
